server,probe_origin,protocol,destination,ip_bytes,sent,received,rtt_ms_min,rtt_ms_mean,rtt_ms_max
node-1,node-2,speedy,10.77.0.1,64,10,10,0.591,0.801,1.294
node-1,node-2,speedy,10.77.0.1,1280,10,10,0.748,0.927,1.261
node-1,node-2,speedy,1.1.1.1,64,10,10,1.754,2.110,3.155
node-1,node-2,speedy,1.1.1.1,1280,10,10,1.895,2.134,2.638
node-1,node-2,legacy,10.77.0.1,64,10,10,0.532,0.657,0.849
node-1,node-2,legacy,10.77.0.1,1280,10,10,0.601,0.802,1.593
node-1,node-2,legacy,1.1.1.1,64,10,10,1.809,2.009,2.434
node-1,node-2,legacy,1.1.1.1,1280,10,10,1.961,2.239,2.682
node-1,node-2,morph_balanced,10.77.0.1,64,10,10,0.652,0.895,1.762
node-1,node-2,morph_balanced,10.77.0.1,1280,10,10,0.774,0.938,1.077
node-1,node-2,morph_balanced,1.1.1.1,64,10,10,1.942,2.130,2.271
node-1,node-2,morph_balanced,1.1.1.1,1280,10,10,1.934,2.113,2.274
node-2,node-1,speedy,10.77.0.1,64,10,10,0.588,0.790,1.176
node-2,node-1,speedy,10.77.0.1,1280,10,10,0.681,0.905,1.205
node-2,node-1,speedy,1.1.1.1,64,10,10,6.561,7.020,8.208
node-2,node-1,speedy,1.1.1.1,1280,10,10,6.617,6.839,7.087
node-2,node-1,legacy,10.77.0.1,64,10,10,0.562,0.746,1.013
node-2,node-1,legacy,10.77.0.1,1280,10,10,0.709,0.850,1.252
node-2,node-1,legacy,1.1.1.1,64,10,10,6.745,7.624,9.810
node-2,node-1,legacy,1.1.1.1,1280,10,10,6.631,6.887,7.253
node-2,node-1,morph_balanced,10.77.0.1,64,10,10,0.610,0.689,0.867
node-2,node-1,morph_balanced,10.77.0.1,1280,10,10,0.645,0.763,1.072
node-2,node-1,morph_balanced,1.1.1.1,64,10,10,6.719,6.978,7.154
node-2,node-1,morph_balanced,1.1.1.1,1280,10,10,6.786,7.015,7.725
node-3,node-1,speedy,10.77.0.1,64,10,10,33.623,34.431,39.515
node-3,node-1,speedy,10.77.0.1,1300,10,10,33.731,34.256,35.308
node-3,node-1,speedy,1.1.1.1,64,10,10,33.993,34.924,40.116
node-3,node-1,speedy,1.1.1.1,1300,10,10,34.121,34.631,35.260
node-3,node-1,legacy,10.77.0.1,64,10,10,33.495,33.716,33.888
node-3,node-1,legacy,10.77.0.1,1300,10,10,33.631,34.531,39.464
node-3,node-1,legacy,1.1.1.1,64,10,10,30.780,32.024,42.076
node-3,node-1,legacy,1.1.1.1,1300,10,10,31.043,31.257,31.835
node-3,node-1,morph_balanced,10.77.0.1,64,10,10,33.617,33.790,34.007
node-3,node-1,morph_balanced,10.77.0.1,1280,10,10,33.712,34.036,35.294
node-3,node-1,morph_balanced,1.1.1.1,64,10,10,30.831,31.101,31.383
node-3,node-1,morph_balanced,1.1.1.1,1280,10,10,31.006,31.342,31.533
